loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
10000.0,36 months,13.11,337.47,B,B4,Sodexo,2 years,RENT,95000.0,Verified,Jun-2013,Fully Paid,debt_consolidation,Debt Consolidation,12.04,Dec-1990,5.0,1.0,4702.0,64.4,26.0,f,INDIVIDUAL,4.0,1.0
35000.0,36 months,14.64,1207.13,C,C3,Director Bureau of Equipment Inventory,8 years,MORTGAGE,130000.0,Verified,May-2014,Fully Paid,credit_card,Credit card refinancing,12.19,May-1984,30.0,0.0,81263.0,18.7,61.0,w,INDIVIDUAL,4.0,0.0
7500.0,36 months,9.17,239.1,B,B2,Social Work/Care Manager,7 years,OWN,55000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,28.21,Apr-1995,13.0,0.0,17838.0,54.9,35.0,w,JOINT,4.0,0.0
35000.0,60 months,12.29,783.7,C,C1,Regional Counsel,10+ years,MORTGAGE,157000.0,Verified,Apr-2015,Fully Paid,debt_consolidation,Debt consolidation,29.39,Jan-1997,17.0,0.0,113091.0,94.9,27.0,w,INDIVIDUAL,2.0,0.0
25975.0,36 months,6.62,797.53,A,A2,Pullman Regional Hospital,9 years,MORTGAGE,65000.0,Verified,Oct-2012,Fully Paid,small_business,Business,9.18,May-2001,9.0,0.0,5140.0,7.2,35.0,f,INDIVIDUAL,6.0,0.0
18000.0,36 months,8.39,567.3,A,A5,firefighter,8 years,MORTGAGE,45000.0,Not Verified,Jul-2014,Fully Paid,major_purchase,Major purchase,12.81,Sep-1994,5.0,0.0,551.0,11.7,23.0,w,INDIVIDUAL,4.0,0.0
32350.0,60 months,21.98,893.11,E,E4,Comcast Corporate office,10+ years,MORTGAGE,72000.0,Verified,Feb-2013,Fully Paid,debt_consolidation,Debt consolidation,18.08,Mar-1982,16.0,0.0,23603.0,78.4,22.0,f,INDIVIDUAL,1.0,0.0
11200.0,60 months,12.29,250.79,C,C1,principal,10+ years,MORTGAGE,81000.0,Not Verified,Oct-2015,Fully Paid,debt_consolidation,Debt consolidation,12.87,Sep-1996,6.0,1.0,5874.0,54.9,20.0,w,INDIVIDUAL,5.0,1.0
34000.0,36 months,7.9,1063.87,A,A4,Pilot,10+ years,RENT,130580.0,Verified,Jan-2014,Fully Paid,debt_consolidation,Debt consolidation,25.4,Jan-1990,16.0,0.0,8767.0,11.9,36.0,f,INDIVIDUAL,3.0,0.0
20000.0,36 months,6.97,617.27,A,A3,Registered Nurse,7 years,MORTGAGE,85000.0,Not Verified,Mar-2016,Fully Paid,debt_consolidation,Debt consolidation,18.8,Mar-2000,15.0,0.0,24195.0,55.7,38.0,w,INDIVIDUAL,1.0,0.0
9200.0,36 months,6.62,282.48,A,A2,Personal Trainer,< 1 year,RENT,65000.0,Source Verified,Apr-2014,Fully Paid,debt_consolidation,Debt consolidation,10.81,Jan-2006,12.0,0.0,6448.0,22.9,23.0,w,INDIVIDUAL,0.0,0.0
7350.0,36 months,13.11,248.05,B,B4,Francis Howell School District,10+ years,MORTGAGE,54800.0,Not Verified,Jun-2013,Fully Paid,debt_consolidation,Debt Consolidation/Home Repairs,7.47,Mar-1999,10.0,0.0,3240.0,37.2,36.0,f,INDIVIDUAL,6.0,0.0
4200.0,36 months,6.99,129.67,A,A3,midstate steel llc,5 years,OWN,24000.0,Not Verified,Jun-2011,Fully Paid,other,kawasaki jetski,4.8,Oct-2006,6.0,0.0,0.0,0.0,7.0,f,INDIVIDUAL,,0.0
20000.0,36 months,8.39,630.34,A,A5,Office Manager,10+ years,OWN,55000.0,Source Verified,Oct-2014,Fully Paid,debt_consolidation,Debt consolidation,9.23,Jan-2003,9.0,0.0,21497.0,43.9,18.0,f,INDIVIDUAL,5.0,0.0
5000.0,36 months,15.61,174.83,D,D1,Operations Manager,5 years,RENT,75000.0,Verified,Sep-2015,Fully Paid,vacation,Vacation,13.58,May-2008,9.0,0.0,3120.0,19.1,26.0,f,INDIVIDUAL,0.0,0.0
6000.0,36 months,11.36,197.47,B,B5,CSU Monterey Bay,2 years,RENT,46680.0,Not Verified,Apr-2010,Charged Off,medical,Medical and Post Graduate Education Expenses,6.56,Oct-2003,9.0,0.0,4370.0,40.1,10.0,f,INDIVIDUAL,,0.0
8400.0,36 months,13.35,284.45,C,C2,Bartender,6 years,RENT,35000.0,Source Verified,Jun-2014,Charged Off,debt_consolidation,Debt consolidation,23.08,Jun-2004,6.0,0.0,6953.0,74.8,17.0,f,INDIVIDUAL,0.0,0.0
23050.0,36 months,12.12,766.92,B,B3,Anheuser-Busch ,3 years,RENT,80000.0,Verified,Apr-2013,Fully Paid,debt_consolidation,Credit card debt,25.47,Jan-1999,18.0,0.0,26693.0,24.6,23.0,w,INDIVIDUAL,0.0,0.0
15000.0,36 months,9.99,483.94,B,B1,Teacher,10+ years,MORTGAGE,79000.0,Verified,Oct-2013,Fully Paid,debt_consolidation,concolidation,17.27,Apr-1994,13.0,0.0,13658.0,56.7,25.0,f,INDIVIDUAL,2.0,0.0
20000.0,36 months,8.19,628.49,A,A5,Sr. Business Analyst,10+ years,MORTGAGE,87000.0,Source Verified,Nov-2014,Fully Paid,debt_consolidation,Debt consolidation,15.32,Mar-2000,15.0,0.0,26330.0,56.1,29.0,w,INDIVIDUAL,6.0,0.0
13200.0,36 months,18.75,482.2,D,D3,"Medtronic, Inc.",10+ years,RENT,71000.0,Source Verified,May-2013,Fully Paid,other,Consolidation Loan,29.54,Apr-1998,9.0,0.0,30464.0,72.4,35.0,f,INDIVIDUAL,4.0,0.0
4600.0,36 months,12.29,153.43,C,C1,Stocker,5 years,RENT,29400.0,Not Verified,Feb-2015,Fully Paid,credit_card,Credit card refinancing,29.63,Jul-2007,12.0,0.0,10112.0,65.7,17.0,w,INDIVIDUAL,0.0,0.0
3000.0,36 months,6.03,91.31,A,A1,American Heart Association,1 year,OWN,64000.0,Source Verified,Oct-2011,Fully Paid,credit_card,Consolidate debt,3.81,Apr-2002,6.0,0.0,4912.0,13.4,18.0,f,INDIVIDUAL,,0.0
20000.0,36 months,12.29,667.06,C,C1,Senior Software Engineer,3 years,RENT,95000.0,Source Verified,Jun-2015,Fully Paid,debt_consolidation,Debt consolidation,11.82,Oct-2007,11.0,0.0,16498.0,54.1,17.0,f,INDIVIDUAL,0.0,0.0
12725.0,36 months,14.99,441.06,C,C5,dealer,10+ years,RENT,43000.0,Not Verified,Jun-2014,Fully Paid,debt_consolidation,Debt consolidation,28.8,Jun-2004,10.0,0.0,10264.0,71.3,16.0,w,INDIVIDUAL,0.0,0.0
5375.0,36 months,13.11,181.39,B,B4,,,RENT,34000.0,Verified,May-2013,Fully Paid,credit_card,Pay Off Credit Card,26.12,Apr-1998,9.0,1.0,14998.0,88.7,20.0,f,INDIVIDUAL,5.0,1.0
3250.0,36 months,16.78,115.52,C,C5,,,RENT,22500.0,Verified,Aug-2013,Charged Off,debt_consolidation,Cover,18.76,Jun-2009,7.0,0.0,7587.0,54.6,7.0,f,INDIVIDUAL,0.0,0.0
15000.0,36 months,13.67,510.27,B,B5,facility technician,10+ years,MORTGAGE,90000.0,Not Verified,Oct-2013,Fully Paid,debt_consolidation,Making a difference,21.44,May-1997,10.0,0.0,4707.0,52.3,40.0,w,INDIVIDUAL,2.0,0.0
15000.0,36 months,13.35,507.95,C,C2,Housekeeper,7 years,RENT,52000.0,Verified,Jun-2014,Fully Paid,credit_card,Credit card refinancing,11.68,Jul-2006,13.0,0.0,18391.0,60.7,21.0,w,INDIVIDUAL,0.0,0.0
10800.0,36 months,13.98,369.02,C,C3,Shift Supervisor,4 years,RENT,51840.0,Source Verified,Oct-2014,Fully Paid,credit_card,Credit card refinancing,25.6,Sep-2003,11.0,0.0,15727.0,82.8,22.0,w,INDIVIDUAL,1.0,0.0
35000.0,60 months,16.99,869.66,D,D1,,4 years,MORTGAGE,130000.0,Verified,Feb-2014,Fully Paid,debt_consolidation,Debt consolidation,14.03,Aug-1992,10.0,0.0,34130.0,53.8,27.0,f,INDIVIDUAL,10.0,0.0
28000.0,60 months,19.91,312.04,E,E4,American Airlines,10+ years,RENT,52000.0,Verified,Dec-2011,Charged Off,debt_consolidation,Debt Consalidation,20.7,Dec-1988,10.0,0.0,29178.0,87.6,16.0,f,INDIVIDUAL,,0.0
21000.0,60 months,17.86,531.67,D,D5,laborer,2 years,MORTGAGE,80000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.67,Feb-2002,15.0,0.0,4189.0,13.0,35.0,w,INDIVIDUAL,1.0,0.0
8400.0,36 months,12.12,279.49,B,B3,Vegas.com,10+ years,RENT,120000.0,Verified,Mar-2013,Fully Paid,debt_consolidation,Debt consolidation,29.56,Jan-1992,11.0,0.0,28739.0,71.3,34.0,f,INDIVIDUAL,6.0,0.0
11950.0,60 months,16.29,292.45,D,D2,labor,10+ years,RENT,30000.0,Source Verified,Oct-2014,Fully Paid,debt_consolidation,Debt consolidation,13.73,Aug-2001,6.0,0.0,2975.0,51.3,15.0,w,INDIVIDUAL,1.0,0.0
6700.0,36 months,21.49,254.12,D,D5,Home attendant ,< 1 year,RENT,21000.0,Verified,Jun-2016,Fully Paid,debt_consolidation,Debt consolidation,10.86,Dec-2010,15.0,0.0,5832.0,14.7,21.0,w,INDIVIDUAL,0.0,0.0
16000.0,36 months,12.99,539.03,B,B5,Payroll Manager,10+ years,MORTGAGE,78000.0,Source Verified,Mar-2014,Fully Paid,debt_consolidation,Debt consolidation,23.31,Oct-1999,15.0,0.0,18863.0,75.2,23.0,f,INDIVIDUAL,2.0,0.0
20000.0,36 months,13.67,680.36,B,B5,Litigation Paralegal,10+ years,MORTGAGE,64000.0,Verified,Nov-2013,Fully Paid,debt_consolidation,Thank you for your help!,21.91,Sep-2004,18.0,0.0,28236.0,51.3,37.0,w,INDIVIDUAL,3.0,0.0
16000.0,60 months,18.54,411.01,E,E1,Accountant,3 years,RENT,40000.0,Source Verified,Dec-2014,Charged Off,debt_consolidation,Debt consolidation,37.26,Sep-2003,16.0,0.0,13179.0,55.6,20.0,w,INDIVIDUAL,0.0,0.0
15000.0,36 months,7.89,469.29,A,A5,,,MORTGAGE,90000.0,Verified,Apr-2016,Fully Paid,debt_consolidation,Debt consolidation,11.75,Aug-1994,7.0,0.0,8205.0,93.2,18.0,w,INDIVIDUAL,6.0,0.0
12875.0,36 months,17.1,459.67,C,C5,Cracker Barrel Old Country Store,8 years,OWN,58000.0,Not Verified,Sep-2013,Fully Paid,medical,Medical expenses,16.88,Jul-2003,11.0,0.0,11417.0,54.1,16.0,f,INDIVIDUAL,0.0,0.0
15000.0,60 months,18.25,382.95,D,D3,Rn,8 years,MORTGAGE,75000.0,Source Verified,May-2016,Fully Paid,debt_consolidation,Debt consolidation,24.43,Apr-1995,18.0,0.0,41310.0,59.6,23.0,w,INDIVIDUAL,2.0,0.0
8000.0,36 months,11.67,264.46,B,B4,Client Support Specialist,9 years,OWN,55000.0,Source Verified,Oct-2014,Fully Paid,debt_consolidation,Debt consolidation,25.35,Apr-2000,15.0,0.0,6725.0,21.2,36.0,w,INDIVIDUAL,4.0,0.0
14000.0,36 months,6.24,427.44,A,A2,Branch Manager,2 years,MORTGAGE,100000.0,Not Verified,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,19.01,Jan-1999,11.0,0.0,31612.0,71.5,29.0,w,INDIVIDUAL,3.0,0.0
12000.0,60 months,8.18,244.36,B,B1,clinical therapist,7 years,MORTGAGE,60000.0,Source Verified,Apr-2015,Charged Off,debt_consolidation,Debt consolidation,20.34,Feb-2002,7.0,0.0,21750.0,59.9,20.0,w,INDIVIDUAL,1.0,0.0
15000.0,36 months,13.98,512.52,C,C3,Armored Car Guard,3 years,OWN,40000.0,Not Verified,Oct-2014,Fully Paid,debt_consolidation,Debt consolidation,14.55,Jan-2006,4.0,1.0,9207.0,51.7,9.0,w,INDIVIDUAL,0.0,1.0
12000.0,36 months,12.35,400.59,B,B4,MCSO,6 years,MORTGAGE,38000.0,Not Verified,Jul-2013,Fully Paid,credit_card,Credit card refinancing,10.67,Dec-2004,10.0,0.0,9537.0,62.3,14.0,f,INDIVIDUAL,2.0,0.0
35000.0,36 months,14.16,1198.94,C,C2,Administrator,9 years,MORTGAGE,118497.84,Verified,Mar-2014,Fully Paid,debt_consolidation,Debt consolidation,10.37,Jun-1995,8.0,0.0,8148.0,83.1,59.0,f,INDIVIDUAL,3.0,0.0
10000.0,36 months,17.56,359.33,D,D1,,,MORTGAGE,32000.0,Verified,Jul-2013,Fully Paid,debt_consolidation,debt consolidation,9.83,Sep-2006,6.0,0.0,11615.0,82.4,7.0,w,INDIVIDUAL,0.0,0.0
15000.0,60 months,18.55,385.41,E,E2,Field Biologist,3 years,RENT,50000.0,Verified,Jul-2015,Fully Paid,other,Other,4.22,Dec-2003,6.0,0.0,8912.0,47.9,23.0,f,INDIVIDUAL,3.0,0.0
9000.0,36 months,12.35,300.44,B,B4,salt lake city school district,7 years,MORTGAGE,59500.0,Not Verified,Aug-2013,Fully Paid,credit_card,Credit card refinancing,16.98,Jul-1994,9.0,0.0,25515.0,91.1,35.0,f,INDIVIDUAL,4.0,0.0
25000.0,60 months,22.15,692.61,E,E5,Rural Letter Carrier,10+ years,MORTGAGE,80000.0,Source Verified,Aug-2014,Fully Paid,home_improvement,Home improvement,11.36,Oct-1990,13.0,0.0,20395.0,74.4,41.0,f,INDIVIDUAL,4.0,0.0
5000.0,36 months,10.39,118.45,B,B4,self,10+ years,RENT,66000.0,Not Verified,May-2008,Fully Paid,medical,Dental Work,1.56,Dec-2001,12.0,0.0,15807.0,20.0,17.0,f,INDIVIDUAL,,0.0
20000.0,36 months,7.9,625.81,A,A4,Sr Social Worker,9 years,RENT,76000.0,Verified,Nov-2013,Fully Paid,debt_consolidation,Dept Consolodation/Home Improvement,5.27,Apr-1999,10.0,0.0,11492.0,37.4,19.0,w,INDIVIDUAL,0.0,0.0
10000.0,60 months,15.99,243.13,D,D2,Truck driver,5 years,RENT,60000.0,Source Verified,Jan-2015,Fully Paid,credit_card,Credit card refinancing,11.78,Dec-2001,8.0,0.0,9197.0,73.0,14.0,w,INDIVIDUAL,2.0,0.0
10000.0,36 months,16.07,351.94,D,D5,Taylor Public Schools,10+ years,RENT,61000.0,Verified,Mar-2010,Fully Paid,debt_consolidation,"Want to be debt free in ""3""",17.51,Feb-1995,11.0,0.0,13834.0,65.4,19.0,f,INDIVIDUAL,,0.0
15975.0,60 months,24.99,468.8,F,F4,carrier,5 years,MORTGAGE,47000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,2.4,May-2003,10.0,0.0,2049.0,58.5,23.0,w,INDIVIDUAL,1.0,0.0
12000.0,60 months,14.99,285.42,C,C5,Attorney,1 year,MORTGAGE,128000.0,Verified,Nov-2014,Fully Paid,debt_consolidation,Debt consolidation,13.95,Oct-2002,8.0,0.0,7939.0,42.5,21.0,w,INDIVIDUAL,2.0,0.0
9900.0,36 months,9.67,317.92,B,B1,Bartender,3 years,RENT,40000.0,Verified,Dec-2013,Fully Paid,credit_card,Moving Forward,19.85,Sep-2003,8.0,0.0,13398.0,63.0,12.0,f,INDIVIDUAL,0.0,0.0
3350.0,36 months,15.61,117.14,D,D1,Administrative Assistant,10+ years,MORTGAGE,52000.0,Not Verified,Oct-2014,Charged Off,debt_consolidation,Debt consolidation,4.34,Mar-2004,4.0,0.0,787.0,34.2,9.0,w,INDIVIDUAL,1.0,0.0
17000.0,60 months,19.19,442.77,E,E3,Bookkeeper,2 years,RENT,50000.0,Source Verified,Jul-2015,Fully Paid,small_business,Business,16.72,Aug-2003,14.0,0.0,14014.0,46.7,21.0,w,INDIVIDUAL,0.0,0.0
6425.0,36 months,8.39,202.5,A,A5,Office Administrator,3 years,RENT,33000.0,Not Verified,Jun-2014,Fully Paid,debt_consolidation,Debt consolidation,9.43,Oct-2000,13.0,0.0,6437.0,26.9,30.0,w,INDIVIDUAL,0.0,0.0
7200.0,36 months,21.0,271.27,E,E2,Roofers Local 195,5 years,RENT,30000.0,Not Verified,May-2013,Charged Off,credit_card,Bills,12.8,Nov-2004,8.0,0.0,8436.0,86.1,13.0,f,INDIVIDUAL,0.0,0.0
7475.0,36 months,12.69,250.75,C,C2,Cleric II,< 1 year,RENT,33000.0,Verified,Apr-2015,Fully Paid,debt_consolidation,Debt consolidation,15.82,Mar-2010,20.0,0.0,4041.0,35.8,30.0,f,INDIVIDUAL,0.0,0.0
10000.0,36 months,13.98,341.68,C,C3,Executive Manager,10+ years,MORTGAGE,55200.0,Not Verified,Jun-2014,Fully Paid,credit_card,Credit card refinancing,23.37,Mar-1996,13.0,0.0,24493.0,62.3,27.0,w,INDIVIDUAL,3.0,0.0
13200.0,36 months,10.74,430.53,B,B2,Brookdale University Hospital,1 year,RENT,45000.0,Source Verified,Mar-2012,Fully Paid,debt_consolidation,Honost Consolidation,12.8,May-1994,8.0,0.0,10665.0,75.6,10.0,f,INDIVIDUAL,0.0,0.0
19000.0,36 months,6.68,583.89,A,A3,owner,10+ years,OWN,80000.0,Not Verified,Mar-2015,Fully Paid,debt_consolidation,Debt consolidation,24.63,Jun-1996,16.0,0.0,26650.0,49.7,56.0,f,INDIVIDUAL,6.0,0.0
11250.0,60 months,19.22,293.2,D,D4,Global Account Director,1 year,RENT,135000.0,Verified,Dec-2013,Fully Paid,debt_consolidation,Debt consolidation,10.68,Nov-1986,13.0,0.0,4944.0,58.2,26.0,f,INDIVIDUAL,6.0,0.0
17800.0,60 months,11.49,391.38,B,B4,Dekalb County Fire Rescue,4 years,MORTGAGE,95000.0,Source Verified,Sep-2011,Charged Off,wedding,home expenses,15.63,Jan-2001,8.0,0.0,27917.0,77.5,26.0,f,INDIVIDUAL,,0.0
33000.0,60 months,17.27,824.94,C,C5,Medtronic,9 years,MORTGAGE,92000.0,Verified,Mar-2013,Fully Paid,debt_consolidation,Pay the Bills,28.7,Apr-2000,12.0,0.0,32332.0,92.6,24.0,f,INDIVIDUAL,1.0,0.0
19000.0,36 months,12.12,632.17,B,B3,Broward Sheriff Office,8 years,RENT,48000.0,Source Verified,Jul-2012,Fully Paid,debt_consolidation,Debt Loan,29.76,Jun-1994,12.0,0.0,30071.0,46.5,28.0,f,INDIVIDUAL,0.0,0.0
10000.0,36 months,16.99,356.48,D,D1,CNA/QMA,7 years,OWN,40000.0,Not Verified,Jan-2014,Charged Off,debt_consolidation,Debt consolidation,14.34,May-2003,8.0,0.0,7680.0,64.0,18.0,f,INDIVIDUAL,0.0,0.0
8050.0,36 months,16.55,285.21,D,D2,CNA,4 years,RENT,29500.0,Not Verified,Mar-2015,Charged Off,debt_consolidation,Debt consolidation,28.23,Jan-2002,9.0,0.0,3327.0,39.6,12.0,w,INDIVIDUAL,0.0,0.0
9000.0,36 months,15.61,314.69,D,D1,Program Manager,6 years,RENT,80000.0,Source Verified,Mar-2015,Fully Paid,car,Car financing,15.51,Sep-1994,10.0,0.0,6554.0,76.2,26.0,f,INDIVIDUAL,0.0,0.0
7200.0,36 months,19.97,267.47,D,D5,Ultrasound Technologist,6 years,RENT,72000.0,Not Verified,Feb-2014,Charged Off,moving,Moving and relocation,15.28,Mar-2001,19.0,0.0,7176.0,20.9,43.0,f,INDIVIDUAL,0.0,0.0
5600.0,36 months,7.89,175.2,A,A5,Mate,5 years,MORTGAGE,63000.0,Verified,Jun-2016,Fully Paid,credit_card,Credit card refinancing,3.2,Sep-2012,5.0,0.0,5066.0,46.9,8.0,f,INDIVIDUAL,1.0,0.0
10000.0,36 months,18.25,362.78,D,D3,Lead Technician level 4,3 years,RENT,39000.0,Not Verified,Jan-2014,Fully Paid,house,Home buying,28.83,Apr-2006,20.0,0.0,5540.0,56.5,26.0,f,INDIVIDUAL,0.0,0.0
30000.0,60 months,24.7,875.28,G,G1,Medtronic,5 years,MORTGAGE,187321.0,Verified,Jul-2012,Fully Paid,debt_consolidation,Debt Consolidation,21.03,Oct-2002,21.0,0.0,54810.0,93.4,52.0,f,INDIVIDUAL,3.0,0.0
9425.0,36 months,13.49,319.8,C,C1,beach house mkt inc,8 years,RENT,45000.0,Not Verified,Dec-2011,Fully Paid,credit_card,credit card refinance loan,15.71,Dec-2001,12.0,0.0,15116.0,81.3,31.0,f,INDIVIDUAL,,0.0
23000.0,36 months,8.39,724.89,A,A5,Controller,10+ years,MORTGAGE,80000.0,Source Verified,Jul-2014,Fully Paid,debt_consolidation,Debt consolidation,14.49,May-1998,15.0,0.0,51791.0,73.9,34.0,f,INDIVIDUAL,2.0,0.0
18000.0,36 months,10.99,589.22,B,B2,Sales Manager,4 years,MORTGAGE,90000.0,Source Verified,Oct-2013,Fully Paid,debt_consolidation,Moving Payoff,17.43,Dec-2002,9.0,0.0,12038.0,64.7,16.0,f,INDIVIDUAL,1.0,0.0
30225.0,60 months,18.24,771.47,D,D5,,,MORTGAGE,65800.0,Verified,Aug-2014,Charged Off,debt_consolidation,Debt consolidation,23.87,Mar-1999,11.0,0.0,14390.0,69.5,31.0,w,INDIVIDUAL,1.0,0.0
3000.0,36 months,7.9,93.88,A,A4,PA Leadership Charter School,< 1 year,RENT,39000.0,Source Verified,Sep-2011,Fully Paid,small_business,Small Business Loan - Gourmet Food Truck,14.86,Nov-2003,11.0,0.0,1865.0,26.2,13.0,f,INDIVIDUAL,,0.0
5000.0,36 months,10.99,163.67,B,B2,Electrician,7 years,RENT,52000.0,Not Verified,Jan-2014,Fully Paid,debt_consolidation,Debt consolidation,16.27,Oct-2005,11.0,0.0,9855.0,27.3,19.0,f,INDIVIDUAL,0.0,0.0
4000.0,36 months,13.33,135.42,C,C3,technician,10+ years,MORTGAGE,75000.0,Not Verified,Oct-2015,Fully Paid,debt_consolidation,Debt consolidation,5.34,May-1990,9.0,0.0,12663.0,86.0,16.0,f,INDIVIDUAL,0.0,0.0
30000.0,36 months,16.49,1061.99,D,D3,Sergeant Major,10+ years,RENT,101000.0,Verified,Nov-2014,Fully Paid,debt_consolidation,Debt consolidation,15.76,Jun-2003,7.0,1.0,6080.0,76.0,15.0,f,INDIVIDUAL,2.0,1.0
12625.0,60 months,25.78,376.36,F,F5,Nursing Assistant,7 years,MORTGAGE,43000.0,Verified,Jul-2015,Fully Paid,credit_card,Credit card refinancing,33.88,Aug-2003,18.0,0.0,19993.0,55.7,31.0,w,INDIVIDUAL,1.0,0.0
13400.0,60 months,25.83,399.86,G,G2,DESIGNER,10+ years,MORTGAGE,56000.0,Verified,Nov-2014,Charged Off,debt_consolidation,Debt consolidation,28.05,Jun-2001,23.0,0.0,28845.0,84.5,44.0,w,INDIVIDUAL,6.0,0.0
24250.0,60 months,18.64,624.27,E,E1,Keystone Automotive Operations,10+ years,MORTGAGE,46200.0,Verified,Dec-2011,Fully Paid,debt_consolidation,consolidation loan,21.32,Jan-1998,9.0,0.0,18894.0,90.0,22.0,f,INDIVIDUAL,,0.0
21000.0,36 months,12.12,698.71,B,B3,,7 years,RENT,150000.0,Source Verified,Mar-2013,Fully Paid,debt_consolidation,first loan,10.03,May-2003,9.0,0.0,40982.0,59.6,20.0,f,INDIVIDUAL,0.0,0.0
17000.0,36 months,7.51,528.89,A,A3,Black Horse Pike Regional School Distric,10+ years,MORTGAGE,87000.0,Verified,Oct-2011,Fully Paid,debt_consolidation,Personal,12.54,Oct-1978,15.0,0.0,17523.0,33.5,35.0,f,INDIVIDUAL,,0.0
9100.0,36 months,13.99,310.98,C,C4,Store manager,9 years,RENT,41000.0,Source Verified,Oct-2015,Charged Off,debt_consolidation,Debt consolidation,11.8,Feb-2001,6.0,1.0,1355.0,10.8,12.0,w,INDIVIDUAL,0.0,1.0
26000.0,36 months,15.22,904.11,C,C3,HHC 40th ESB (US Army),10+ years,RENT,59500.0,Verified,Aug-2013,Fully Paid,credit_card,Consolidation,11.25,Jul-1994,8.0,0.0,24655.0,92.6,15.0,f,INDIVIDUAL,0.0,0.0
30000.0,36 months,15.31,1044.52,C,C2,Alice G. Alatorre DDS.,9 years,MORTGAGE,108000.0,Verified,Dec-2012,Charged Off,debt_consolidation,Debt consolidation,7.25,May-1998,8.0,0.0,19430.0,84.8,15.0,w,INDIVIDUAL,0.0,0.0
15000.0,36 months,6.62,460.56,A,A2,Capital One,6 years,MORTGAGE,83000.0,Verified,Jun-2013,Fully Paid,major_purchase,Loan,10.52,Jun-2006,11.0,0.0,2213.0,4.7,22.0,w,INDIVIDUAL,1.0,0.0
8000.0,36 months,12.35,267.06,B,B4,Sally beauty supply,7 years,RENT,27000.0,Verified,Aug-2013,Fully Paid,home_improvement,The trailer,10.4,Oct-2006,6.0,0.0,9027.0,59.8,9.0,w,INDIVIDUAL,0.0,0.0
